id,user,uid,version,changeset,timestamp
313125631,Bike Mapper,74705,1,26827641,2014-11-16T18:02:54Z
313174125,dannykath,2226712,3,39253873,2016-05-11T21:55:56Z
313174135,dannykath,2226712,3,39254400,2016-05-11T22:28:30Z
313174145,calfarome,2511706,3,36822770,2016-01-26T18:44:18Z
313174155,n76,318696,1,26832369,2014-11-16T22:07:08Z
313194606,doug_sfba,1796809,1,26835823,2014-11-17T03:15:40Z
313442717,pbfoot06,2281061,1,26869541,2014-11-18T17:53:37Z
313604063,pbfoot06,2281061,1,26894835,2014-11-19T20:24:25Z
313606658,pbfoot06,2281061,1,26895116,2014-11-19T20:37:41Z
313608498,pbfoot06,2281061,1,26895320,2014-11-19T20:47:38Z
313631082,stevea,123633,1,26898263,2014-11-19T23:53:54Z
313707184,pbfoot06,2281061,1,26911675,2014-11-20T16:43:31Z
313707963,pbfoot06,2281061,1,26911831,2014-11-20T16:50:55Z
313844463,pbfoot06,2281061,1,26932288,2014-11-21T16:43:31Z
313911599,doug_sfba,1796809,1,26944882,2014-11-22T04:19:03Z
313958212,pbfoot06,2281061,1,26953273,2014-11-22T14:56:12Z
314115779,doug_sfba,1796809,2,26981194,2014-11-23T19:46:14Z
314137370,pbfoot06,2281061,1,26977324,2014-11-23T16:49:08Z
314139616,pbfoot06,2281061,1,26977783,2014-11-23T17:09:42Z
314142714,pbfoot06,2281061,1,26978180,2014-11-23T17:26:39Z
314201312,doug_sfba,1796809,1,26985593,2014-11-24T00:51:19Z
314278916,pbfoot06,2281061,1,27001876,2014-11-24T17:16:24Z
314279266,pbfoot06,2281061,1,27002021,2014-11-24T17:22:22Z
314455417,nmixter,55774,1,27028267,2014-11-25T18:38:51Z
314455427,nmixter,55774,1,27028267,2014-11-25T18:38:52Z
314455437,nmixter,55774,1,27028267,2014-11-25T18:38:52Z
314455447,nmixter,55774,1,27028267,2014-11-25T18:38:53Z
314455459,nmixter,55774,1,27028267,2014-11-25T18:38:53Z
314463270,nmixter,55774,1,27028267,2014-11-25T19:28:41Z
314471218,pbfoot06,2281061,2,27030388,2014-11-25T20:19:09Z
314472552,pbfoot06,2281061,1,27030557,2014-11-25T20:26:10Z
314587248,Bike Mapper,74705,1,27047876,2014-11-26T15:54:16Z
314587258,Minh Nguyen,33757,2,33537142,2015-08-24T04:58:18Z
314602741,AlOnderick,1058397,1,27050009,2014-11-26T17:22:46Z
314612250,nmixter,55774,1,27051499,2014-11-26T18:27:23Z
314612260,nmixter,55774,1,27051499,2014-11-26T18:27:24Z
314612270,nmixter,55774,1,27051499,2014-11-26T18:27:24Z
314612283,nmixter,55774,1,27051499,2014-11-26T18:27:25Z
314612296,nmixter,55774,1,27051499,2014-11-26T18:27:26Z
314612318,nmixter,55774,1,27051499,2014-11-26T18:27:27Z
314612340,nmixter,55774,1,27051499,2014-11-26T18:27:27Z
314612350,nmixter,55774,1,27051499,2014-11-26T18:27:28Z
314612360,nmixter,55774,1,27051499,2014-11-26T18:27:28Z
314612374,nmixter,55774,1,27051499,2014-11-26T18:27:29Z
314612385,nmixter,55774,1,27051499,2014-11-26T18:27:30Z
314612395,nmixter,55774,1,27051499,2014-11-26T18:27:30Z
314612405,nmixter,55774,1,27051499,2014-11-26T18:27:31Z
314612415,nmixter,55774,1,27051499,2014-11-26T18:27:32Z
314612425,nmixter,55774,1,27051499,2014-11-26T18:27:32Z
314612435,nmixter,55774,1,27051499,2014-11-26T18:27:33Z
314612445,nmixter,55774,1,27051499,2014-11-26T18:27:34Z
314612463,nmixter,55774,1,27051499,2014-11-26T18:27:34Z
314612474,nmixter,55774,1,27051499,2014-11-26T18:27:35Z
314612484,nmixter,55774,1,27051499,2014-11-26T18:27:35Z
314612494,nmixter,55774,1,27051499,2014-11-26T18:27:36Z
314612513,nmixter,55774,1,27051499,2014-11-26T18:27:37Z
314612523,nmixter,55774,1,27051499,2014-11-26T18:27:37Z
314808250,doug_sfba,1796809,1,27082230,2014-11-28T05:27:00Z
314942146,Walk and walk around,574053,1,27104055,2014-11-29T03:21:24Z
314942709,Walk and walk around,574053,1,27104171,2014-11-29T03:40:16Z
314943226,Minh Nguyen,33757,2,32643332,2015-07-15T06:07:17Z
315101413,nmixter,55774,1,27125346,2014-11-30T06:18:36Z
315101423,nmixter,55774,1,27125346,2014-11-30T06:18:36Z
315101433,nmixter,55774,1,27125346,2014-11-30T06:18:37Z
315101443,nmixter,55774,1,27125346,2014-11-30T06:18:37Z
315101453,nmixter,55774,1,27125346,2014-11-30T06:18:39Z
315101463,nmixter,55774,1,27125346,2014-11-30T06:18:40Z
315101473,nmixter,55774,1,27125346,2014-11-30T06:18:40Z
315101483,nmixter,55774,1,27125346,2014-11-30T06:18:40Z
315101494,nmixter,55774,1,27125346,2014-11-30T06:18:42Z
